Distance [m];Packet RSSI [dBm];RSSI [dBm];SNR [dB];Power level [dBm];SF;BW [kHz];Freq [MHz];CR;Lat;Long;Speed [km/h]
100;-118;-105;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-105;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-119;-108;-12;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-106;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-104;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-105;-12;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-119;-102;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-119;-105;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-105;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-106;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-110;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-104;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-105;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-104;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-108;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-105;-10;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-119;-105;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-119;-104;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-119;-106;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-119;-108;-13;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-108;-14;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-121;-105;-15;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-119;-104;-14;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-106;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-119;-108;-13;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-120;-105;-14;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-104;-15;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-120;-108;-15;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-120;-107;-17;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-120;-105;-16;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-121;-105;-16;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-119;-108;-15;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-119;-104;-14;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-119;-105;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-105;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-119;-108;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-120;-105;-13;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-120;-104;-15;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-120;-105;-12;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-120;-106;-16;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
